"","DeployID","Ptt","DepthSensor","Source","Instr","Count","Start","End","LocationQuality","Latitude","Longitude","MinDepth","MinDepthAccuracy","MaxDepth","MaxDepthAccuracy","MinTemp","MinTempAccuracy","MaxTemp","MaxTempAccuracy","MobMean","MobSD","ActivitySum"
"115","ZcTag082",180754,1,"Transmission","Mk10",17,"04:00:00 17-May-2019","08:00:00 17-May-2019",NA,NA,NA,0,0,1232,15.5,NA,NA,NA,NA,NA,NA,NA
"116","ZcTag082",180754,1,"Transmission","Mk10",13,"08:00:00 17-May-2019","12:00:00 17-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
"117","ZcTag082",180754,1,"Transmission","Mk10",14,"12:00:00 17-May-2019","16:00:00 17-May-2019",NA,NA,NA,0,0,1648,15.5,NA,NA,NA,NA,NA,NA,NA
"118","ZcTag082",180754,1,"Transmission","Mk10",5,"16:00:00 17-May-2019","20:00:00 17-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"119","ZcTag082",180754,1,"Transmission","Mk10",12,"20:00:00 17-May-2019","00:00:00 18-May-2019",NA,NA,NA,0,0,1168,15.5,NA,NA,NA,NA,NA,NA,NA
"120","ZcTag082",180754,1,"Transmission","Mk10",13,"00:00:00 18-May-2019","04:00:00 18-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
"121","ZcTag082",180754,1,"Transmission","Mk10",14,"04:00:00 18-May-2019","08:00:00 18-May-2019",NA,NA,NA,0,0,1104,15.5,NA,NA,NA,NA,NA,NA,NA
"122","ZcTag082",180754,1,"Transmission","Mk10",15,"08:00:00 18-May-2019","12:00:00 18-May-2019",NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
"123","ZcTag082",180754,1,"Transmission","Mk10",21,"12:00:00 18-May-2019","16:00:00 18-May-2019",NA,NA,NA,0,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA
"124","ZcTag082",180754,1,"Transmission","Mk10",13,"16:00:00 18-May-2019","20:00:00 18-May-2019",NA,NA,NA,0,0,1264,15.5,NA,NA,NA,NA,NA,NA,NA
"125","ZcTag082",180754,1,"Transmission","Mk10",17,"20:00:00 18-May-2019","00:00:00 19-May-2019",NA,NA,NA,0,0,1200,15.5,NA,NA,NA,NA,NA,NA,NA
"126","ZcTag082",180754,1,"Transmission","Mk10",17,"00:00:00 19-May-2019","04:00:00 19-May-2019",NA,NA,NA,0,0,1456,15.5,NA,NA,NA,NA,NA,NA,NA
"127","ZcTag082",180754,1,"Transmission","Mk10",9,"04:00:00 19-May-2019","08:00:00 19-May-2019",NA,NA,NA,0,0,1424,15.5,NA,NA,NA,NA,NA,NA,NA
"128","ZcTag082",180754,1,"Transmission","Mk10",12,"08:00:00 19-May-2019","12:00:00 19-May-2019",NA,NA,NA,0,0,1520,15.5,NA,NA,NA,NA,NA,NA,NA
"129","ZcTag082",180754,1,"Transmission","Mk10",19,"12:00:00 19-May-2019","16:00:00 19-May-2019",NA,NA,NA,0,0,1552,15.5,NA,NA,NA,NA,NA,NA,NA
"130","ZcTag082",180754,1,"Transmission","Mk10",9,"16:00:00 19-May-2019","20:00:00 19-May-2019",NA,NA,NA,0,0,1328,15.5,NA,NA,NA,NA,NA,NA,NA
"131","ZcTag082",180754,1,"Transmission","Mk10",12,"20:00:00 19-May-2019","00:00:00 20-May-2019",NA,NA,NA,0,0,1040,15.5,NA,NA,NA,NA,NA,NA,NA
"132","ZcTag082",180754,1,"Transmission","Mk10",10,"00:00:00 20-May-2019","04:00:00 20-May-2019",NA,NA,NA,0,0,1136,15.5,NA,NA,NA,NA,NA,NA,NA
