"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange"
"125","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:10:00",NA,NA,NA,9,9.5,NA,NA,NA,NA
"126","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:15:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"127","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:20:00",NA,NA,NA,332,43,NA,NA,NA,NA
"128","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:25:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"129","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:30:00",NA,NA,NA,64,10.5,NA,NA,NA,NA
"130","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:35:00",NA,NA,NA,92,20.5,NA,NA,NA,NA
"131","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:40:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"132","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:45:00",NA,NA,NA,258,41.5,NA,NA,NA,NA
"133","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:50:00",NA,NA,NA,203,22,NA,NA,NA,NA
"134","ZcTag092",180761,1,"Transmission","Mk10","30-Jul-2019","23:55:00",NA,NA,NA,9,9.5,NA,NA,NA,NA
"135","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:00:00",NA,NA,NA,163,26,NA,NA,NA,NA
"136","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:05:00",NA,NA,NA,256,27,NA,NA,NA,NA
"137","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:10:00",NA,NA,NA,256,27,NA,NA,NA,NA
"138","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:15:00",NA,NA,NA,116,25.5,NA,NA,NA,NA
"139","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:20:00",NA,NA,NA,12,12,NA,NA,NA,NA
"140","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:25:00",NA,NA,NA,511,53.5,NA,NA,NA,NA
"141","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:30:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"142","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:35:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"143","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:40:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"144","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:45:00",NA,NA,NA,1115,108,NA,NA,NA,NA
"145","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:50:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"146","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","00:55:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"147","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:00:00",NA,NA,NA,1300,110.5,NA,NA,NA,NA
"148","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:05:00",NA,NA,NA,929,105.5,NA,NA,NA,NA
"149","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:10:00",NA,NA,NA,604,55,NA,NA,NA,NA
"150","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:15:00",NA,NA,NA,418,52.5,NA,NA,NA,NA
"151","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:20:00",NA,NA,NA,256,27,NA,NA,NA,NA
"152","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:25:00",NA,NA,NA,12,12,NA,NA,NA,NA
"153","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:30:00",NA,NA,NA,163,26,NA,NA,NA,NA
"154","ZcTag092",180761,1,"Transmission","Mk10","31-Jul-2019","01:35:00",NA,NA,NA,12,12,NA,NA,NA,NA
