"","DeployID","Ptt","DepthSensor","Source","Instr","Day","Time","LocationQuality","Latitude","Longitude","Depth","DRange","Temperature","TRange","Activity","ARange","dive_labels"
"3028","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:05:00,NA,NA,NA,31,11,NA,NA,NA,NA,0
"3029","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:10:00,NA,NA,NA,226,23.5,NA,NA,NA,NA,508
"3030","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:15:00,NA,NA,NA,823,93,NA,NA,NA,NA,508
"3031","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:20:00,NA,NA,NA,823,93,NA,NA,NA,NA,508
"3032","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:25:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,508
"3033","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:30:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,508
"3034","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:35:00,NA,NA,NA,1152,97,NA,NA,NA,NA,508
"3035","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:40:00,NA,NA,NA,1152,97,NA,NA,NA,NA,508
"3036","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:45:00,NA,NA,NA,1152,97,NA,NA,NA,NA,508
"3037","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:50:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,508
"3038","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",01:55:00,NA,NA,NA,535,48,NA,NA,NA,NA,508
"3039","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:00:00,NA,NA,NA,226,23.5,NA,NA,NA,NA,508
"3040","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:05:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3041","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:10:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3042","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:15:00,NA,NA,NA,31,11,NA,NA,NA,NA,509
"3043","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:20:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3044","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:25:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3045","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:30:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3046","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:35:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3047","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:40:00,NA,NA,NA,10,10.5,NA,NA,NA,NA,0
"3048","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:45:00,NA,NA,NA,31,11,NA,NA,NA,NA,510
"3049","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:50:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,510
"3050","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",02:55:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,510
"3051","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:00:00,NA,NA,NA,51,11.5,NA,NA,NA,NA,0
"3052","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:05:00,NA,NA,NA,103,22,NA,NA,NA,NA,511
"3053","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:10:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,511
"3054","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:15:00,NA,NA,NA,185,23.5,NA,NA,NA,NA,511
"3055","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:20:00,NA,NA,NA,72,12,NA,NA,NA,NA,511
"3056","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:25:00,NA,NA,NA,51,11.5,NA,NA,NA,NA,0
"3057","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:30:00,NA,NA,NA,144,23,NA,NA,NA,NA,512
"3058","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:35:00,NA,NA,NA,658,90.5,NA,NA,NA,NA,512
"3059","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:40:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,512
"3060","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:45:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,512
"3061","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:50:00,NA,NA,NA,987,94.5,NA,NA,NA,NA,512
"3062","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",03:55:00,NA,NA,NA,823,93,NA,NA,NA,NA,512
"3063","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:00:00,NA,NA,NA,858,84,NA,NA,NA,NA,512
"3064","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:05:00,NA,NA,NA,858,84,NA,NA,NA,NA,512
"3065","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:10:00,NA,NA,NA,572,80,NA,NA,NA,NA,512
"3066","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:15:00,NA,NA,NA,464,42.5,NA,NA,NA,NA,512
"3067","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:20:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,512
"3068","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:25:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"3069","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:30:00,NA,NA,NA,161,21,NA,NA,NA,NA,513
"3070","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:35:00,NA,NA,NA,250,39.5,NA,NA,NA,NA,513
"3071","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:40:00,NA,NA,NA,125,20,NA,NA,NA,NA,513
"3072","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:45:00,NA,NA,NA,9,9.5,NA,NA,NA,NA,0
"3073","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:50:00,NA,NA,NA,27,10,NA,NA,NA,NA,0
"3074","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",04:55:00,NA,NA,NA,27,10,NA,NA,NA,NA,0
"3075","ZcTag084",180753,1,"Transmission","Mk10","03-Jun-2019",05:00:00,NA,NA,NA,125,20,NA,NA,NA,NA,514
