Tag,Date,Time,Lat,Long,DataSource,Vessel,Category,Error_in_m,SightingNo,Comments
ZcTag092,7/30/19,13:22:20,35.54468,-74.73557,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,13:42:35,35.54822,-74.74052,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,14:27:57,35.5555,-74.75037,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,16:13:01,35.55309,-74.74204,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,16:37:26,35.55058,-74.73578,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,17:00:36,35.5508,-74.73865,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,17:25:45,35.54609,-74.74392,Tracking,Barber,Fluke,50,1,
ZcTag092,7/30/19,20:53:17,35.56741,-74.75578,Sightings,Barber,Approach,200,1a,
ZcTag092,8/4/19,14:51:26,35.50798,-74.7725,Sightings,Kahuna,Fluke,50,3,
ZcTag092,8/5/19,13:14:15,35.56252,-74.72598,Tracking,Kahuna,Gonio,2500,,
ZcTag092,8/5/19,17:11:23,35.51999,-74.77074,Tracking,Kahuna,Gonio,2500,,
ZcTag092,8/5/19,17:34:35,35.50666,-74.77942,Sightings,Kahuna,Fluke,50,6,
ZcTag092,8/5/19,18:00:53,35.5093,-74.77879,Sightings,Kahuna,Fluke,50,6,
ZcTag093,7/30/19,13:02:06,35.53951,-74.72902,Tracking,Barber,Fluke,50,1,took out tagging location 1 min prior
ZcTag093,7/30/19,13:22:20,35.54468,-74.73557,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,13:42:35,35.54822,-74.74052,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,14:27:57,35.5555,-74.75037,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,16:13:01,35.55309,-74.74204,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,16:37:26,35.55058,-74.73578,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,17:00:36,35.5508,-74.73865,Tracking,Barber,Fluke,50,1,
ZcTag093,7/30/19,17:25:45,35.54609,-74.74392,Tracking,Barber,Fluke,50,1,
ZcTag093,8/4/19,13:37:17,35.53071,-74.76669,Tracking,Kahuna,Fluke,50,2,
ZcTag093,8/4/19,13:51:28,35.54031,-74.76208,Tracking,Kahuna,Fluke,50,2,
ZcTag093,8/4/19,15:19:19,35.52681,-74.75718,Tracking,Kahuna,Fluke,50,2a,
ZcTag093,8/5/19,13:33:56,35.57006,-74.7677,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/5/19,13:56:16,35.57096,-74.74832,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/5/19,14:19:00,35.56394,-74.76217,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/5/19,14:42:45,35.57164,-74.74714,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/5/19,15:09:07,35.57335,-74.74614,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/5/19,15:37:56,35.57308,-74.73977,Tracking,Kahuna,Fluke,50,3,
ZcTag093,8/6/19,12:52:54,35.56294,-74.82402,Tracking,Kahuna,Gonio,2500,,
ZcTag093,8/6/19,13:15:15,35.56667,-74.73594,Tracking,Kahuna,Gonio,2500,,
ZcTag093,8/6/19,13:31:51,35.55659,-74.76714,Sightings,Barber,Approach,200,1,
ZcTag093,8/6/19,13:57:59,35.56629,-74.75862,Tracking,Barber,Approach,200,1,
ZcTag093,8/6/19,14:00:54,35.56404,-74.75323,Sightings,Kahuna,Distant,1000,1,
ZcTag093,8/6/19,14:23:46,35.57096,-74.75328,Tracking,Barber,Approach,200,1,
ZcTag093,8/6/19,14:46:27,35.58377,-74.76097,Tracking,Barber,Approach,200,1,
ZcTag093,8/6/19,15:16:31,35.58264,-74.76076,Tracking,Kahuna,Gonio,2500,,
ZcTag093,8/6/19,15:38:11,35.57552,-74.75181,Tracking,Barber,Fluke,50,1,Dtag out at 15:38:09 Updated lat long from tag sheet
ZcTag093,8/6/19,15:59:22,35.57678,-74.74731,Tracking,Barber,Approach,200,1,with Zc_19_218a
ZcTag093,8/6/19,17:07:54,35.59699,-74.75352,Tracking,Barber,Gonio,2500,,
ZcTag093,8/6/19,17:30:32,35.55617,-74.74608,Tracking,Barber,Approach,200,1,with Zc_19_218a
